Source,Target,Label,Weight,Type
Alissa Nutting,Lindsay Hunter,,1,Directed
Amelia Gray,Han Kang,,1,Directed
Amelia Gray,Lindsay Hunter,,1,Directed
Amitav Ghosh,Chitra Divakaruni,,1,Directed
Amitav Ghosh,Uzodinma Iweala,,1,Directed
Amy Bloom,Alice Hoffman,,1,Directed
Amy Bloom,Colum McCann,,1,Directed
Amy Bloom,Dani Shapiro,,1,Directed
Amy Bloom,Elizabeth McCracken,,1,Directed
Amy Bloom,Porochista Khakpour,,1,Directed
Amy Bloom,Ron Carlson,,1,Directed
Amy Bloom,Stewart O'Nan,,1,Directed
Amy Bloom,Tayari Jones,,1,Directed
Amy Bloom,Thom Jones,,1,Directed
Amy Bloom,Victor LaValle,,1,Directed
Amy Bloom,Yiyun Li,,1,Directed
Amy Hempel,Bret Anthony Johnston,Bennington,1,Directed
Amy Hempel,Diane Williams,,1,Directed
Amy Hempel,Gary Lutz,Lish,1,Directed
Amy Hempel,Jim Shepard,,1,Directed
Amy Hempel,Joy Williams,Lish,1,Directed
Amy Hempel,Lily Tuck,Lish,1,Directed
Amy Hempel,Mary Robison,,1,Directed
Amy Hempel,Miranda July,Graham,1,Directed
Amy Hempel,Monica Ali,,1,Directed
Amy Hempel,Rick Bass,,1,Directed
Amy Hempel,Sheila Kohler,Lish,1,Directed
Amy Hempel,Stuart Dybek,,1,Directed
Amy Tan,Aleksandar Hemon,,1,Directed
Amy Tan,Alice Hoffman,,1,Directed
Amy Tan,Andrea Barrett,,1,Directed
Amy Tan,Andrew Sean Greer,,1,Directed
Amy Tan,Ayelet Waldman,,1,Directed
Amy Tan,Chitra Divakaruni,,1,Directed
Amy Tan,Gish Jen,,1,Directed
Amy Tan,Ha Jin,,1,Directed
Amy Tan,Heidi Julavits,,1,Directed
Amy Tan,Jhumpa Lahiri,,1,Directed
Amy Tan,Kazuo Ishiguro,,1,Directed
Amy Tan,Lisa See,,1,Directed
Amy Tan,Manil Suri,,1,Directed
Amy Tan,Oscar Hijuelos,,1,Directed
Amy Tan,Rabih Alameddine,,1,Directed
Amy Tan,Sheila Kohler,,1,Directed
Amy Tan,Terry McMillan,,1,Directed
Amy Tan,Vendela Vida,,1,Directed
Ana Castillo,Helena Viramontes,,1,Directed
Ana Castillo,Junot Diaz,,1,Directed
Ana Castillo,Percival Everett,,1,Directed
Andre Dubus,Dennis Lehane,,1,Directed
Andre Dubus,Gina Berriault,,1,Directed
Andre Dubus,Peter Orner,Iowa,1,Directed
Andre Dubus III,Andre Dubus,,1,Directed
Andre Dubus III,Bret Anthony Johnston,,1,Directed
Andre Dubus III,Diana Abu-Jaber,,1,Directed
Andre Dubus III,Nahid Rachlin,,1,Directed
Andrea Barrett,Aaron Their,,1,Directed
Andrea Barrett,Amitav Ghosh,,1,Directed
Andrea Barrett,Antonya Nelson,,1,Directed
Andrea Barrett,Charles Baxter,,1,Directed
Andrea Barrett,Claire Messud,,1,Directed
Andrea Barrett,James Welch,,1,Directed
Andrea Barrett,Jim Shepard,,1,Directed
Andrea Barrett,Joanna Scott,,1,Directed
Andrea Barrett,Karen E. Bender,,1,Directed
Andrea Barrett,Karen Joy Fowler,,1,Directed
Andrea Barrett,Lan Samantha Chang,,1,Directed
Andrea Barrett,Lily King,,1,Directed
Andrea Barrett,Lily Tuck,,1,Directed
Andrea Barrett,Manil Suri,,1,Directed
Andrea Barrett,Marisa Silver,,1,Directed
Andrea Barrett,Nicole Krauss,,1,Directed
Andrea Barrett,Paula Fox,,1,Directed
Andrea Barrett,Peter Ho Davies,,1,Directed
Andrea Barrett,Richard Bausch,,1,Directed
Andrea Barrett,Samantha Hunt,,1,Directed
Andrea Barrett,Stacey D'Erasmo,,1,Directed
Andrew Sean Greer,Ayelet Waldman,,1,Directed
Andrew Sean Greer,David Mitchell,,1,Directed
Andrew Sean Greer,Nell Freudenberger,,1,Directed
Andrew Sean Greer,Peter Orner,,1,Directed
Andrew Sean Greer,Vendela Vida,,1,Directed
Angela Carter,Anne Enright,,1,Directed
Angela Carter,Gary Indiana,,1,Directed
Angela Carter,J.G. Ballard,,1,Directed
Angela Carter,Robert Coover,,1,Directed
Angela Carter,Salman Rushdie,,1,Directed
Angela Flournoy,Brit Bennett,,1,Directed
Angela Flournoy,Jacqueline Woodson,,1,Directed
Angela Flournoy,Tony Tulathimutte,Iowa/Levine,1,Directed
Anita Shreve,Andre Dubus III,,1,Directed
Anita Shreve,Anne Tyler,,1,Directed
Anita Shreve,Diana Abu-Jaber,,1,Directed
Anita Shreve,Emma Donoghue,,1,Directed
Anita Shreve,Geraldine Brooks,,1,Directed
Anita Shreve,Madeleine Thien,,1,Directed
Anita Shreve,Rosellen Brown,,1,Directed
Anita Shreve,Shirley Hazzard,,1,Directed
Ann Beattie,Benjamin Anastas,,1,Directed
Ann Beattie,Bradford Morrow,,1,Directed
Ann Beattie,Charles Baxter,,1,Directed
Ann Beattie,Charles Frazier,,1,Directed
Ann Beattie,Craig Nova,,1,Directed
Ann Beattie,Dana Spiotta,Graham,1,Directed
Ann Beattie,David Markson,(I),1,Directed
Ann Beattie,Edmund White,,1,Directed
Ann Beattie,Frederick Barthelme,,1,Directed
Ann Beattie,Frederick Busch,,1,Directed
Ann Beattie,Gish Jen,,1,Directed
Ann Beattie,Helen Schulman,,1,Directed
Ann Beattie,Joy Williams,,1,Directed
Ann Beattie,Kazuo Ishiguro,,1,Directed
Ann Beattie,Lily King,,1,Directed
Ann Beattie,Nathan Englander,,1,Directed
Ann Beattie,Peter Orner,,1,Directed
Ann Beattie,Raymond Carver,,1,Directed
Ann Beattie,Robert Olen Butler,,1,Directed
Ann Beattie,Ron Carlson,,1,Directed
Ann Beattie,Sam Lipsyte,,1,Directed
Ann Beattie,Sandra Cisneros,,1,Directed
Ann Beattie,Tobias Wolff,,1,Directed
Ann Packer,Abraham Verghese,,1,Directed
Ann Packer,Ayelet Waldman,,1,Directed
Ann Packer,Chris Offutt,,1,Directed
Ann Packer,Dan Chaon,,1,Directed
Ann Packer,Elizabeth Strout,,1,Directed
Ann Packer,Julie Orringer,,1,Directed
Ann Packer,Stewart O'Nan,,1,Directed
Ann Packer,Vendela Vida,,1,Directed
Ann Patchett,Anthony Marra,Iowa,1,Directed
Ann Patchett,Cynthia Ozick,,1,Directed
Ann Patchett,Daniel Alarcon,Iowa,1,Directed
Ann Patchett,Edith Pearlman,,1,Directed
Ann Patchett,Edmund White,,1,Directed
Ann Patchett,Edna O'Brien,,1,Directed
Ann Patchett,Emily St. John Mandel,,1,Directed
Ann Patchett,Emma Donoghue,,1,Directed
Ann Patchett,Hannah Tinti,,1,Directed
Ann Patchett,Jacqueline Woodson,,1,Directed
Ann Patchett,Jesmyn Ward,,1,Directed
Ann Patchett,Kevin Powers,,1,Directed
Ann Patchett,Laura van den Berg,,1,Directed
Ann Patchett,Maile Meloy,,1,Directed
Ann Patchett,Margot Livesey,Iowa,1,Directed
Ann Patchett,Nell Freudenberger,,1,Directed
Ann Patchett,Peter Ho Davies,,1,Directed
Ann Patchett,Shirley Hazzard,,1,Directed
Ann Patchett,Tea Obreht,,1,Directed
Anne Enright,Donal Ryan,,1,Directed
Anne Tyler,Alice Adams,,1,Directed
Anne Tyler,Bobbie Ann Mason,,1,Directed
Anne Tyler,Francine Prose,,1,Directed
Anne Tyler,Gordon Lish,,1,Directed
Anne Tyler,John Casey,,1,Directed
Anne Tyler,Louise Erdrich,,1,Directed
Anne Tyler,Mary Robison,,1,Directed
Anne Tyler,Monica Ali,,1,Directed
Anne Tyler,Reynolds Price,Duke (I),1,Directed
Anne Tyler,Rosellen Brown,,1,Directed
Anne Tyler,Scott Spencer,,1,Directed
Annie Dillard,Alexander Chee,,1,Directed
Annie Dillard,Alice Hoffman,,1,Directed
Annie Dillard,Amy Bloom,,1,Directed
Annie Dillard,Chris Offutt,,1,Directed
Annie Dillard,David Guterson,,1,Directed
Annie Dillard,James Welch,,1,Directed
Annie Dillard,Jayne Anne Phillips,,1,Directed
Annie Dillard,Maggie Nelson,,1,Directed
Annie Dillard,Michael Ondaatje,,1,Directed
Annie Dillard,Peter Matthiessen,,1,Directed
Annie Dillard,Rick Bass,,1,Directed
Annie Dillard,Robert Stone,,1,Directed
Annie Dillard,Rosellen Brown,,1,Directed
Annie Dillard,Tobias Wolff,,1,Directed
Annie Dillard,William Kittredge,,1,Directed
Annie Proulx,Daniel Woodrell,,1,Directed
Annie Proulx,Donald Antrim,,1,Directed
Annie Proulx,Elizabeth Gilbert,,1,Directed
Annie Proulx,Ivan Doig,,1,Directed
Annie Proulx,Larry McMurtry,,1,Directed
Annie Proulx,Richard Russo,,1,Directed
Annie Proulx,Rick Bass,,1,Directed
Anthony Burgess,A.S. Byatt,,1,Directed
Anthony Burgess,Angela Carter,,1,Directed
Anthony Burgess,J.G. Ballard,,1,Directed
Anthony Burgess,John Hawkes,,1,Directed
Anthony Burgess,Martin Amis,,1,Directed
Anthony Burgess,William S. Burroughs,,1,Directed
Anthony Doerr,David Mitchell,,1,Directed
Anthony Doerr,Hanya Yanagihara,,1,Directed
Anthony Doerr,Peter Orner,,1,Directed
Anthony Doerr,Teju Cole,,1,Directed
Anthony Doerr,Victor LaValle,,1,Directed
Anthony Marra,Alejandro Zambra,,1,Directed
Anthony Marra,David Mitchell,,1,Directed
Anthony Marra,Joshua Ferris,,1,Directed
Anthony Marra,Tony Tulathimutte,Iowa,1,Directed
Anthony Swofford,Kevin Powers,,1,Directed
Anthony Swofford,Phil Klay,,1,Directed
Anthony Swofford,T. Geronimo Johnson,Iowa,1,Directed
Antonya Nelson,Peter Orner,,1,Directed
Antonya Nelson,Ron Carlson,,1,Directed
Antonya Nelson,Zachary Lazar,,1,Directed
Arthur Phillips,Benjamin Kunkel,,1,Directed
Arthur Phillips,Gillian Flynn,,1,Directed
Arthur Phillips,Jennifer duBois,,1,Directed
Arthur Phillips,Kelly Link,,1,Directed
Arthur Phillips,Paul Murray,,1,Directed
Audrey Niffenegger,Charles Yu,,1,Directed
Audrey Niffenegger,Emma Donoghue,,1,Directed
Audrey Niffenegger,Erin Morgenstern,,1,Directed
Audrey Niffenegger,Kelly Link,,1,Directed
Audrey Niffenegger,Marisha Pessl,,1,Directed
Audrey Niffenegger,Neil Gaiman,,1,Directed
Audrey Niffenegger,Wesley Stace,,1,Directed
Ayana Mathis,Angela Flournoy,Iowa/Levine,1,Directed
Ayana Mathis,Jesmyn Ward,,1,Directed
Ayana Mathis,Jonathan Lee,,1,Directed
Ayelet Waldman,Etgar Keret,,1,Directed
Ayelet Waldman,Imbolo Mbue,,1,Directed
Ayelet Waldman,Jonathan Lee,,1,Directed
Ayelet Waldman,Lore Segal,,1,Directed
Ayelet Waldman,Myla Goldberg,,1,Directed
Ayelet Waldman,Susan Straight,,1,Directed
Barbara Kingsolver,Dorothy Allison,,1,Directed
Barbara Kingsolver,Linda Hogan,,1,Directed
Barbara Kingsolver,Ruth Ozeki,,1,Directed
Barry Hannah,Amy Hempel,Lish,1,Directed
Barry Hannah,Bob Shacochis,,1,Directed
Barry Hannah,Chuck Palahniuk,,1,Directed
Barry Hannah,David Gates,,1,Directed
Barry Hannah,Harry Crews,,1,Directed
Barry Hannah,Jay McInerney,,1,Directed
Barry Hannah,Larry Brown,,1,Directed
Barry Hannah,Mary Robison,,1,Directed
Barry Hannah,Padgett Powell,,1,Directed
Barry Hannah,Richard Russo,,1,Directed
Barry Hannah,Rick Bass,,1,Directed
Barry Lopez,Cormac McCarthy,,1,Directed
Barry Lopez,William Kittredge,,1,Directed
Ben Fountain,Cristina Henriquez,,1,Directed
Ben Fountain,David Bezmozgis,,1,Directed
Ben Fountain,Jess Walter,,1,Directed
Ben Fountain,Margot Livesey,,1,Directed
Ben Fountain,Maria Semple,,1,Directed
Ben Fountain,Marisa Silver,,1,Directed
Ben Fountain,Mohsin Hamid,,1,Directed
Ben Fountain,Phil Klay,,1,Directed
Ben Fountain,Smith Henderson,Boudreaux,1,Directed
Ben Fountain,Teddy Wayne,,1,Directed
Ben Fountain,Tiphanie Yanique,,1,Directed
Ben Lerner,Maggie Nelson,,1,Directed
Ben Lerner,Sheila Heti,,1,Directed
Ben Lerner,Tao Lin,,1,Directed
Ben Marcus,Alexandra Kleeman,Columbia,1,Directed
Ben Marcus,Alissa Nutting,,1,Directed
Ben Marcus,Blake Butler,,1,Directed
Ben Marcus,Deb Olin Unferth,,1,Directed
Ben Marcus,Diane Williams,Lish,1,Directed
Ben Marcus,Gary Lutz,Lish,1,Directed
Ben Marcus,Karen Russell,Columbia,1,Directed
Ben Marcus,Manuel Gonzales,Columbia,1,Directed
Ben Marcus,Mark Doten,,1,Directed
Ben Marcus,Paul Beatty,Columbia,1,Directed
Ben Marcus,Robert Coover,Brown,1,Directed
Ben Marcus,Wells Tower,Columbia,1,Directed
Benjamin Anastas,Caleb Crain,,1,Directed
Benjamin Kunkel,Adelle Waldman,,1,Directed
Benjamin Kunkel,Caleb Crain,n+1,1,Directed
Benjamin Kunkel,Chad Harbach,n+1,1,Directed
Benjamin Kunkel,Clancy Martin,,1,Directed
Benjamin Kunkel,Emily Gould,n+1,1,Directed
Benjamin Kunkel,Keith Gessen,n+1,1,Directed
Benjamin Kunkel,Nell Freudenberger,,1,Directed
Benjamin Kunkel,Wells Tower,Columbia,1,Directed
Bharati Mukherjee,Jhumpa Lahiri,,1,Directed
Bharati Mukherjee,Lan Cao,,1,Directed
Blake Butler,Amelia Gray,,1,Directed
Blake Butler,Tao Lin,,1,Directed
Bob Shacochis,Adam Johnson,,1,Directed
Bob Shacochis,Annie Proulx,,1,Directed
Bob Shacochis,Diane Williams,,1,Directed
Bob Shacochis,Jonathan Franzen,,1,Directed
Bob Shacochis,Kathryn Harrison,,1,Directed
Bob Shacochis,Margot Livesey,,1,Directed
Bob Shacochis,Richard Powers,,1,Directed
Bob Shacochis,Rick Bass,,1,Directed
Bob Shacochis,Ron Carlson,,1,Directed
Bob Shacochis,Viet Thanh Nguyen,Grove,1,Directed
Bobbie Ann Mason,Frederick Barthelme,,1,Directed
Bobbie Ann Mason,Mary Robison,,1,Directed
Bradford Morrow,Brian Evenson,Conjunctions,1,Directed
Bradford Morrow,Diane Williams,,1,Directed
Bradford Morrow,Don DeLillo,,1,Directed
Bradford Morrow,Gilbert Sorrentino,,1,Directed
Bradford Morrow,Joanna Scott,Conjunctions,1,Directed
Bradford Morrow,John Hawkes,,1,Directed
Bret Anthony Johnston,Cristina Henriquez,,1,Directed
Bret Anthony Johnston,Elizabeth McCracken,Iowa,1,Directed
Bret Anthony Johnston,Lindsay Hunter,,1,Directed
Bret Easton Ellis,Chuck Palahniuk,,1,Directed
Bret Easton Ellis,Dana Spiotta,,1,Directed
Bret Easton Ellis,Dennis Cooper,,1,Directed
Bret Easton Ellis,Joy Williams,,1,Directed
Bret Easton Ellis,Laurent Binet,,1,Directed
Bret Easton Ellis,Mark Z. Danielewski,,1,Directed
Bret Easton Ellis,Michael Tolkin,,1,Directed
Bret Easton Ellis,Tao Lin,,1,Directed
Brian Evenson,Ben Lerner,Brown,1,Directed
Brian Evenson,Blake Butler,,1,Directed
Brian Evenson,Gary Lutz,Lish,1,Directed
Brian Evenson,Jeff VanderMeer,,1,Directed
Brian Evenson,Peter Straub,,1,Directed
Carlos Fuentes,Alvaro Enrigue,,1,Directed
Carlos Fuentes,Juan Gabriel Vasquez,,1,Directed
Carolyn Chute,Bonnie Jo Campbell,,1,Directed
Carolyn Chute,Bonnie Nadzam,,1,Directed
Carolyn Chute,Madison Smartt Bell,,1,Directed
Carolyn Chute,Paulette Jiles,,1,Directed
Carolyn Chute,Sigrid Nunez,,1,Directed
Caryl Phillips,Amy Bloom,,1,Directed
Caryl Phillips,Cristina Garcia,,1,Directed
Caryl Phillips,Dani Shapiro,,1,Directed
Caryl Phillips,Michelle Cliff,,1,Directed
Celeste Ng,Jesmyn Ward,Michigan,1,Directed
Celeste Ng,Peter Ho Davies,Michigan,1,Directed
Chad Harbach,Caleb Crain,n+1,1,Directed
Chad Harbach,Emily Gould,n+1,1,Directed
Chad Harbach,Sheila Heti,,1,Directed
Chang-rae Lee,Catherine Chung,,1,Directed
Chang-rae Lee,Danzy Senna,Riverhead,1,Directed
Chang-rae Lee,Gary Shteyngart,Hunter,1,Directed
Chang-rae Lee,Zachary Lazar,,1,Directed
Charles Baxter,Antonya Nelson,,1,Directed
Charles Baxter,David Treuer,Michigan,1,Directed
Charles Baxter,Francine Prose,,1,Directed
Charles Baxter,Jess Row,Michigan,1,Directed
Charles Baxter,Jim Shepard,,1,Directed
Charles Baxter,Lydia Davis,,1,Directed
Charles Baxter,Margot Livesey,,1,Directed
Charles Baxter,Nicholas Delbanco,Michigan,1,Directed
Charles Baxter,Peter Ho Davies,Michigan,1,Directed
Charles Baxter,Peter Orner,,1,Directed
Charles Baxter,Victor LaValle,,1,Directed
Charles Bock,Justin Taylor,,1,Directed
Charles Bock,Patrick deWitt,,1,Directed
Charles Bock,Teddy Wayne,,1,Directed
Charles Frazier,Karl Marlantes,,1,Directed
Charles Frazier,Larry Brown,,1,Directed
Charles Frazier,Michael Chabon,,1,Directed
Charles Frazier,Paulette Jiles,,1,Directed
Charles Frazier,Reynolds Price,,1,Directed
Charles Johnson,Clarence Major,,1,Directed
Charles Johnson,David Guterson,Washington,1,Directed
Charles Johnson,Ralph Ellison,(I),1,Directed
Charles Johnson,Terry McMillan,,1,Directed
Charles Yu,Anna North,,1,Directed
Charles Yu,Benjamin Anastas,,1,Directed
Charles Yu,Brian Evenson,,1,Directed
Charles Yu,Jeff VanderMeer,,1,Directed
Charles Yu,Manuel Gonzales,,1,Directed
Charles Yu,Mark Leyner,,1,Directed
Chimamanda Adichie,Chinua Achebe,,1,Directed
Chimamanda Adichie,Hisham Matar,,1,Directed
Chinelo Okparanta,A. Igoni Barrett,Wylie,1,Directed
Chinua Achebe,Chimamanda Adichie,,1,Directed
Chitra Divakaruni,Gail Tsukiyama,,1,Directed
Chitra Divakaruni,Jhumpa Lahiri,,1,Directed
Chitra Divakaruni,Tiphanie Yanique,,1,Directed
Chris Abani,Bonnie Nadzam,USC,1,Directed
Chris Abani,Helen Oyeyemi,,1,Directed
Chris Abani,Laila Lalami,Levine,1,Directed
Chris Abani,Marlon James,Levine,1,Directed
Chris Abani,Mat Johnson,,1,Directed
Chris Abani,Peter Orner,Levine,1,Directed
Chris Abani,Teju Cole,,1,Directed
Chris Abani,Uzodinma Iweala,,1,Directed
Chris Kraus,Eileen Myles,,1,Directed
Chris Kraus,Gary Indiana,,1,Directed
Chris Kraus,Michael Tolkin,,1,Directed
Chris Offutt,Anthony Swofford,Iowa,1,Directed
Chris Offutt,Daniel Alarcon,,1,Directed
Chris Offutt,Denis Johnson,Iowa,1,Directed
Chris Offutt,Larry Brown,,1,Directed
Chris Offutt,Nam Le,Iowa,1,Directed
Chris Offutt,Patrick deWitt,,1,Directed
Chris Offutt,Stewart O'Nan,,1,Directed
Chris Ware,Adrian Tomine,,1,Directed
Chris Ware,Deb Olin Unferth,,1,Directed
Chris Ware,Miranda July,,1,Directed
Christine Schutt,Deb Olin Unferth,NOON,1,Directed
Christine Schutt,Diane Williams,,1,Directed
Christine Schutt,Justin Taylor,,1,Directed
Christine Schutt,Ramona Ausubel,,1,Directed
Christopher Sorrentino,Steve Erickson,,1,Directed
Christopher Sorrentino,Zachary Lazar,,1,Directed
Chuck Palahniuk,Amy Hempel,,1,Directed
Chuck Palahniuk,Denis Johnson,,1,Directed
Chuck Palahniuk,Diana Abu-Jaber,,1,Directed
Chuck Palahniuk,Joy Williams,,1,Directed
Chuck Palahniuk,Lidia Yuknavitch,,1,Directed
Chuck Palahniuk,Sam Lipsyte,,1,Directed
Chuck Palahniuk,Stewart O'Nan,,1,Directed
Claire Messud,Etgar Keret,,1,Directed
Claire Messud,Margot Livesey,,1,Directed
Claire Messud,Peter Ho Davies,,1,Directed
Claire Messud,Porochista Khakpour,,1,Directed
Claire Messud,Roxana Robinson,,1,Directed
Claire Vaye Watkins,Christine Schutt,,1,Directed
Claire Vaye Watkins,Laura van den Berg,,1,Directed
Claire Vaye Watkins,Lesley Nneka Arimah,,1,Directed
Claire Vaye Watkins,Manuel Gonzales,,1,Directed
Claire Vaye Watkins,Ramona Ausubel,,1,Directed
Claire Vaye Watkins,Smith Henderson,Aragi,1,Directed
Claire Vaye Watkins,Tiphanie Yanique,,1,Directed
Clancy Martin,Tao Lin,,1,Directed
Clarence Major,Michelle Cliff,,1,Directed
Clarence Major,Paul Beatty,,1,Directed
Clarence Major,Percival Everett,,1,Directed
Clive Barker,Neil Gaiman,,1,Directed
Clive Barker,Patrick McGrath,,1,Directed
Clive Barker,Stephen King,,1,Directed
Colm Toibin,Andrew Sean Greer,,1,Directed
Colm Toibin,Anne Enright,,1,Directed
Colm Toibin,Daniel Alarcon,,1,Directed
Colm Toibin,Hisham Matar,,1,Directed
Colm Toibin,James Baldwin,,1,Directed
Colm Toibin,Jayne Anne Phillips,,1,Directed
Colm Toibin,John Banville,,1,Directed
Colm Toibin,Joseph O'Connor,,1,Directed
Colm Toibin,Juan Gabriel Vasquez,,1,Directed
Colm Toibin,Kevin Powers,,1,Directed
Colm Toibin,Philipp Meyer,,1,Directed
Colm Toibin,Rabih Alameddine,,1,Directed
Colm Toibin,Rachel Kushner,Columbia,1,Directed
Colm Toibin,Richard Bausch,,1,Directed
Colm Toibin,Richard Ford,Columbia,1,Directed
Colm Toibin,Sebastian Barry,,1,Directed
Colm Toibin,Teju Cole,,1,Directed
Colson Whitehead,Charles Yu,,1,Directed
Colson Whitehead,Christopher Sorrentino,,1,Directed
Colson Whitehead,Darin Strauss,,1,Directed
Colson Whitehead,Jeff VanderMeer,,1,Directed
Colson Whitehead,John Wray,,1,Directed
Colson Whitehead,Julie Otsuka,Aragi,1,Directed
Colson Whitehead,Kevin Brockmeier,,1,Directed
Colson Whitehead,Mat Johnson,,1,Directed
Colson Whitehead,Paul La Farge,,1,Directed
Colum McCann,Adam Haslett,,1,Directed
Colum McCann,Aleksandar Hemon,,1,Directed
Colum McCann,Amy Bloom,,1,Directed
Colum McCann,Andrew Sean Greer,,1,Directed
Colum McCann,Chimamanda Adichie,Wylie,1,Directed
Colum McCann,Cristina Henriquez,,1,Directed
Colum McCann,Dale Peck,,1,Directed
Colum McCann,Don DeLillo,,1,Directed
Colum McCann,Emma Donoghue,,1,Directed
Colum McCann,Jim Crace,,1,Directed
Colum McCann,John Wray,Wylie,1,Directed
Colum McCann,Joseph O'Connor,,1,Directed
